Name,Description,Duration,Year,Type
El Chef,"El joven Jacky Bonnot sueña con triunfar en un gran restaurante. Un día se cruza en su camino Alexandre Lagarde, un célebre chef, cuya acomodada posición se ve amenazada por el grupo financiero propietario de sus restaurantes.","1 horas, 40 minutos",2014,movie
Solo los Amantes Sobreviven,"Adam, un músico de Detroit deprimido por el rumbo que ha tomado la sociedad, y la enigmática Eve, que vive en Tánger, son dos vampiros que llevan siglos amándose. La llegada de Ava, la salvaje hermana menor de Eve, pone en peligro su romance.","2 horas, 19 minutos",2013,movie
1911,"La historia se centra en el nacimiento de la República China en 1911, cuando las fuerzas nacionalistas comandadas por Sun Yat-Sen expulsaron a la Dinastía Qing.","1 horas, 57 minutos",1911,movie
Down And Derby,"Mientras un grupo de padres de los suburbios intenta hacerse cargo del concurso derby de madera de pino de sus hijos, todo el vecindario se tambalea al borde de la locura.","1 horas, 46 minutos",2004,movie
Encarcelados,"Rachel, una policía novata, está a punto de empezar su primer turno de noche en la comisaría de policía de un tranquilo pueblo.","1 horas, 50 minutos",2015,movie
Alex Rider: Operación Stormbreaker,"Después de la muerte de su tío, el colegial de 14 años Alex Rider es obligado por la División de Operaciones Especiales del servicio secreto de inteligencia del Reino Unido, MI6, a una misión que salvará millones de vidas.","1 horas, 51 minutos",2005,movie
Bring it on,"Dos equipos de animadoras se enfrentarán para conseguir el gran premio nacional de ""cheerleaders"".","1 horas, 56 minutos",2000,movie
Amor a Segunda Vista,"Alec y Megan, unos jóvenes que rondan los veintitantos años, despiertan juntos después de haber tenido una aventura de una noche. Cuando les sorprende la tormenta de nieve que azota Nueva York, se ven obligados a permanecer juntos.","1 horas, 42 minutos",2014,movie
La Maldición,"En este thriller apasionante y sobrenatural con las estrellas más populares de Hollywood, un temor del estudio crece hasta convertirse en una vertiginosa pesadilla para un profesor y tres sujetos atrapados en una mansión misteriosa.","2 horas, 12 minutos",1999,movie
Magic in the Moonlight,Es una comedia romántica que cuenta la historia de un hombre ingles traido para desenmascarar a una posible estafa. Sobrevienen complicaciones personales y profesionales.,"1 horas, 55 minutos",2014,movie
Pequeños guerreros,"Underdogs cuenta la historia de un grupo de niños a través de sus vidas, desafíos y luchas en las artes marciales y su batalla contra los demás equipos en el Campeonato de Beverly Hills.","1 horas, 52 minutos",2015,movie
Laggies,"La veinteañera Megan, de mentalidad todavía adolescente y asustada ante la proposición de matrimonio de su novio, busca un retiro temporal mientras huye durante una semana con Annika, una joven de 16 años que resulta ser su nueva mejor amiga.","1 horas, 59 minutos",2013,movie
Fire with Fire,"Un bombero fuera de servicio es testigo de un asesinato a manos de una banda de mafiosos. Entra en el programa de protección de testigos hasta que testifique, pero no consigue ocultarse por mucho tiempo de la banda, por lo que decide actuar por su cuenta.","1 horas, 55 minutos",2012,movie
